date,description,amount
2024-01-05,Rent payment,-1200.00
2024-01-07,Uber ride,-25.50
2024-01-10,Restaurant dinner,-45.00
2024-01-12,Electricity bill,-89.00
2024-01-15,Netflix subscription,-15.99
2024-01-18,Grocery shopping,-120.50
2024-01-20,Amazon purchase,-67.99
2024-01-22,Coffee shop,-4.50
2024-01-25,Phone bill,-75.00
2024-01-28,Movie tickets,-24.00
2024-02-01,Rent payment,-1200.00
2024-02-03,Bus fare,-3.00
2024-02-08,Lunch at KFC,-12.50
2024-02-12,Internet bill,-65.00
2024-02-15,Shopping mall,-150.00
2024-02-18,Spotify premium,-9.99
2024-02-20,Fuel,-55.00
2024-02-22,Water bill,-35.00
2024-02-25,Pizza delivery,-22.00
2024-02-28,Game purchase,-59.99
